"M&M","212","chocolates","4.1","7"
"Bounty","213","chocolates","3.95","7"
"Snickers","214","chocolates","4.0","7"
"Smiths","311","chips","4.2","7"
"Pringles","312","chips","4.5","7"
"Kettle","313","chips","4.2","7"
"Thins","314","chips","4.2","7"
"Mentos","411","candies","23.0","7"
"Sour Patch","412","candies","12.0","7"
"Skittles","413","candies","2.6","7"
"Mars","270","chocolates","5.8","7"
"Mineral Water","101","drinks","10.0","7"
"Sprite","102","drinks","10.0","7"
"Coca cola","103","drinks","10.0","7"
"Pepsi","104","drinks","9.9","7"
"Juice","105","drinks","5.5","7"
